gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Osteoprogenitors	Chondrocytes	Muscle progenitors	Limb bud mesoderm	Myotome	Dermomyotome	Cardiomyocytes	Endothelial cells	Lateral plate mesoderm	Stromal cells	Hind limb lateral plate mesoderm	Intermediate mesoderm	Cartilage precursors	Myocytes	Limb bud mesenchyme	Apical ectodermal ridge	Branchial arch mesenchyme	Vascular smooth muscle	Mesoderm	Mesenchymal progenitors	Osteoblasts
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0F6CFB979	1.024	0.711	0.935	0.95	0.833	0.903	0.909	0.41	0.896	1.187	0.619	1.036	0.932	0.846	0.991	0.956	1.016	1.14	0.604	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS090FFEDFE	1.024	0.711	0.935	0.95	0.833	0.903	0.909	0.41	0.896	1.187	0.619	1.036	0.932	0.846	0.991	0.956	1.016	1.14	0.604	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E4E75E3B	1.024	0.711	0.935	0.95	0.833	0.903	0.909	0.41	0.896	1.187	0.619	1.036	0.932	0.846	0.991	0.956	1.016	1.14	0.604	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0E54FF657	1.024	0.711	0.935	0.95	0.833	0.903	0.909	0.41	0.896	1.187	0.619	1.036	0.932	0.846	0.991	0.956	1.016	1.14	0.604	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS09CECD20D	1.024	0.711	0.935	0.95	0.833	0.903	0.909	0.41	0.896	1.187	0.619	1.036	0.932	0.846	0.991	0.956	1.016	1.14	0.604	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0B9A4CA4D	1.024	0.711	0.935	0.95	0.833	0.903	0.909	0.41	0.896	1.187	0.619	1.036	0.932	0.846	0.991	0.956	1.016	1.14	0.604	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1A_BMPR2	CPI-CS0CFA0E4C5	1.024	0.711	0.935	0.95	0.833	0.903	0.909	0.41	0.896	1.187	0.619	1.036	0.932	0.846	0.991	0.956	1.016	1.14	0.604	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS08109C435	1.024	0.604	0.762	0.652	0.833	0.574	0.909	0.166	0.911	1.042	0.119	0.518	0.754	0.288	1.01	0.464	1.068	0.594	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS02C93975C	1.024	0.604	0.762	0.652	0.833	0.574	0.909	0.166	0.911	1.042	0.119	0.518	0.754	0.288	1.01	0.464	1.068	0.594	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0EF793D6A	1.024	0.604	0.762	0.652	0.833	0.574	0.909	0.166	0.911	1.042	0.119	0.518	0.754	0.288	1.01	0.464	1.068	0.594	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0484364A2	1.024	0.604	0.762	0.652	0.833	0.574	0.909	0.166	0.911	1.042	0.119	0.518	0.754	0.288	1.01	0.464	1.068	0.594	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS028ACED72	1.024	0.604	0.762	0.652	0.833	0.574	0.909	0.166	0.911	1.042	0.119	0.518	0.754	0.288	1.01	0.464	1.068	0.594	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0107C51C6	1.024	0.604	0.762	0.652	0.833	0.574	0.909	0.166	0.911	1.042	0.119	0.518	0.754	0.288	1.01	0.464	1.068	0.594	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0700FDD27	1.024	0.604	0.762	0.652	0.833	0.574	0.909	0.166	0.911	1.042	0.119	0.518	0.754	0.288	1.01	0.464	1.068	0.594	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0C623F17A	1.024	0.604	0.762	0.652	0.833	0.574	0.909	0.166	0.911	1.042	0.119	0.518	0.754	0.288	1.01	0.464	1.068	0.594	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS027D7A724	1.024	0.604	0.762	0.652	0.833	0.574	0.909	0.166	0.911	1.042	0.119	0.518	0.754	0.288	1.01	0.464	1.068	0.594	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0A8F7D89F	1.024	0.604	0.762	0.652	0.833	0.574	0.909	0.166	0.911	1.042	0.119	0.518	0.754	0.288	1.01	0.464	1.068	0.594	0.0	0.0	0.0
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0569B9B91	1.024	0.604	0.762	0.652	0.833	0.574	0.909	0.166	0.911	1.042	0.119	0.518	0.754	0.288	1.01	0.464	1.068	0.594	0.0	0.0	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS08CC8F9D3	0.356	0.215	0.274	0.38	0.305	0.311	0.304	0.565	0.414	0.363	0.379	0.287	0.294	0.241	0.326	0.425	0.384	0.282	0.422	0.324	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0E1BF543E	0.356	0.215	0.274	0.38	0.305	0.311	0.304	0.565	0.414	0.363	0.379	0.287	0.294	0.241	0.326	0.425	0.384	0.282	0.422	0.324	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0C16967C6	0.356	0.215	0.274	0.38	0.305	0.311	0.304	0.565	0.414	0.363	0.379	0.287	0.294	0.241	0.326	0.425	0.384	0.282	0.422	0.324	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR1_BMPR2	CPI-CS0AEE2FB22	0.356	0.215	0.274	0.38	0.305	0.311	0.304	0.565	0.414	0.363	0.379	0.287	0.294	0.241	0.326	0.425	0.384	0.282	0.422	0.324	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS046B3C139	0.308	0.215	0.274	0.349	0.305	0.287	0.304	0.26	0.344	0.363	0.311	0.287	0.294	0.241	0.292	0.239	0.233	0.242	0.262	0.285	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0EC80CA59	0.308	0.215	0.274	0.349	0.305	0.287	0.304	0.26	0.344	0.363	0.311	0.287	0.294	0.241	0.292	0.239	0.233	0.242	0.262	0.285	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0FFBA02F8	0.308	0.215	0.274	0.349	0.305	0.287	0.304	0.26	0.344	0.363	0.311	0.287	0.294	0.241	0.292	0.239	0.233	0.242	0.262	0.285	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS0CE2A204A	0.308	0.215	0.274	0.349	0.305	0.287	0.304	0.26	0.344	0.363	0.311	0.287	0.294	0.241	0.292	0.239	0.233	0.242	0.262	0.285	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CC045C36F28	0.308	0.215	0.274	0.349	0.305	0.287	0.304	0.26	0.344	0.363	0.311	0.287	0.294	0.241	0.292	0.239	0.233	0.242	0.262	0.285	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.308	0.215	0.274	0.349	0.305	0.287	0.304	0.26	0.344	0.363	0.311	0.287	0.294	0.241	0.292	0.239	0.233	0.242	0.262	0.285	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2A receptor	CPI-CS073233FCC	0.308	0.215	0.274	0.349	0.305	0.287	0.304	0.26	0.344	0.363	0.311	0.287	0.294	0.241	0.292	0.239	0.233	0.242	0.262	0.285	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0288D901D	0.356	0.215	0.274	0.38	0.305	0.311	0.304	0.235	0.351	0.363	0.297	0.287	0.294	0.195	0.326	0.425	0.384	0.282	0.422	0.324	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0FCC00896	0.356	0.215	0.274	0.38	0.305	0.311	0.304	0.235	0.351	0.363	0.297	0.287	0.294	0.195	0.326	0.425	0.384	0.282	0.422	0.324	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS02AEFFE28	0.356	0.215	0.274	0.38	0.305	0.311	0.304	0.235	0.351	0.363	0.297	0.287	0.294	0.195	0.326	0.425	0.384	0.282	0.422	0.324	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS0860DA460	0.356	0.215	0.274	0.38	0.305	0.311	0.304	0.235	0.351	0.363	0.297	0.287	0.294	0.195	0.326	0.425	0.384	0.282	0.422	0.324	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CC09863F59B	0.356	0.215	0.274	0.38	0.305	0.311	0.304	0.235	0.351	0.363	0.297	0.287	0.294	0.195	0.326	0.425	0.384	0.282	0.422	0.324	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.356	0.215	0.274	0.38	0.305	0.311	0.304	0.235	0.351	0.363	0.297	0.287	0.294	0.195	0.326	0.425	0.384	0.282	0.422	0.324	0.0
ACVR1	Q04771	True	ACVR1_HUMAN	ACVR_1A2B receptor	CPI-CS048465560	0.356	0.215	0.274	0.38	0.305	0.311	0.304	0.235	0.351	0.363	0.297	0.287	0.294	0.195	0.326	0.425	0.384	0.282	0.422	0.324	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS046B3C139	0.308	0.215	0.274	0.349	0.305	0.287	0.304	0.26	0.344	0.363	0.311	0.287	0.294	0.241	0.292	0.239	0.233	0.242	0.262	0.285	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS0EC80CA59	0.308	0.215	0.274	0.349	0.305	0.287	0.304	0.26	0.344	0.363	0.311	0.287	0.294	0.241	0.292	0.239	0.233	0.242	0.262	0.285	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS0FFBA02F8	0.308	0.215	0.274	0.349	0.305	0.287	0.304	0.26	0.344	0.363	0.311	0.287	0.294	0.241	0.292	0.239	0.233	0.242	0.262	0.285	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS0CE2A204A	0.308	0.215	0.274	0.349	0.305	0.287	0.304	0.26	0.344	0.363	0.311	0.287	0.294	0.241	0.292	0.239	0.233	0.242	0.262	0.285	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CC045C36F28	0.308	0.215	0.274	0.349	0.305	0.287	0.304	0.26	0.344	0.363	0.311	0.287	0.294	0.241	0.292	0.239	0.233	0.242	0.262	0.285	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS091BF99D0	0.308	0.215	0.274	0.349	0.305	0.287	0.304	0.26	0.344	0.363	0.311	0.287	0.294	0.241	0.292	0.239	0.233	0.242	0.262	0.285	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1A2A receptor	CPI-CS073233FCC	0.308	0.215	0.274	0.349	0.305	0.287	0.304	0.26	0.344	0.363	0.311	0.287	0.294	0.241	0.292	0.239	0.233	0.242	0.262	0.285	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CC0104F2A96	0.111	0.036	0.117	0.104	0.091	0.087	0.077	0.137	0.072	0.118	0.084	0.101	0.102	0.035	0.101	0.239	0.19	0.062	0.161	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS0533A30DC	0.111	0.036	0.117	0.104	0.091	0.087	0.077	0.137	0.072	0.118	0.084	0.101	0.102	0.035	0.101	0.239	0.19	0.062	0.161	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS02899BF8B	0.111	0.036	0.117	0.104	0.091	0.087	0.077	0.137	0.072	0.118	0.084	0.101	0.102	0.035	0.101	0.239	0.19	0.062	0.161	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS09F35DDEB	0.111	0.036	0.117	0.104	0.091	0.087	0.077	0.137	0.072	0.118	0.084	0.101	0.102	0.035	0.101	0.239	0.19	0.062	0.161	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS04F78ACD6	0.111	0.036	0.117	0.104	0.091	0.087	0.077	0.137	0.072	0.118	0.084	0.101	0.102	0.035	0.101	0.239	0.19	0.062	0.161	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1B2A receptor	CPI-CS0C8F1E01F	0.111	0.036	0.117	0.104	0.091	0.087	0.077	0.137	0.072	0.118	0.084	0.101	0.102	0.035	0.101	0.239	0.19	0.062	0.161	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CC0947744F4	0.002	0.0	0.0	0.001	0.003	0.002	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CS0924060DB	0.002	0.0	0.0	0.001	0.003	0.002	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	ACVR_1C2A receptor	CPI-CS007ADC2D1	0.002	0.0	0.0	0.001	0.003	0.002	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0D35E69F6	0.308	0.256	0.424	0.349	0.328	0.287	0.363	0.26	0.344	0.555	0.311	0.343	0.418	0.671	0.292	0.239	0.233	0.242	0.262	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS047EE9E03	0.308	0.256	0.424	0.349	0.328	0.287	0.363	0.26	0.344	0.555	0.311	0.343	0.418	0.671	0.292	0.239	0.233	0.242	0.262	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0247DA882	0.308	0.256	0.424	0.349	0.328	0.287	0.363	0.26	0.344	0.555	0.311	0.343	0.418	0.671	0.292	0.239	0.233	0.242	0.262	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0C091F24B	0.308	0.256	0.424	0.349	0.328	0.287	0.363	0.26	0.344	0.555	0.311	0.343	0.418	0.671	0.292	0.239	0.233	0.242	0.262	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS075442484	0.308	0.256	0.424	0.349	0.328	0.287	0.363	0.26	0.344	0.555	0.311	0.343	0.418	0.671	0.292	0.239	0.233	0.242	0.262	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS012D15A88	0.308	0.256	0.424	0.349	0.328	0.287	0.363	0.26	0.344	0.555	0.311	0.343	0.418	0.671	0.292	0.239	0.233	0.242	0.262	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS0DAA66443	0.308	0.256	0.424	0.349	0.328	0.287	0.363	0.26	0.344	0.555	0.311	0.343	0.418	0.671	0.292	0.239	0.233	0.242	0.262	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS04C402DFB	0.308	0.256	0.424	0.349	0.328	0.287	0.363	0.26	0.344	0.555	0.311	0.343	0.418	0.671	0.292	0.239	0.233	0.242	0.262	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1A_ACR2A	CPI-CS05789C9A0	0.308	0.256	0.424	0.349	0.328	0.287	0.363	0.26	0.344	0.555	0.311	0.343	0.418	0.671	0.292	0.239	0.233	0.242	0.262	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0DF85303A	0.308	0.256	0.424	0.349	0.328	0.287	0.363	0.166	0.344	0.555	0.119	0.343	0.418	0.288	0.292	0.239	0.233	0.242	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS01A4D7E2F	0.308	0.256	0.424	0.349	0.328	0.287	0.363	0.166	0.344	0.555	0.119	0.343	0.418	0.288	0.292	0.239	0.233	0.242	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0921BB754	0.308	0.256	0.424	0.349	0.328	0.287	0.363	0.166	0.344	0.555	0.119	0.343	0.418	0.288	0.292	0.239	0.233	0.242	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS01319F57A	0.308	0.256	0.424	0.349	0.328	0.287	0.363	0.166	0.344	0.555	0.119	0.343	0.418	0.288	0.292	0.239	0.233	0.242	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS08A043594	0.308	0.256	0.424	0.349	0.328	0.287	0.363	0.166	0.344	0.555	0.119	0.343	0.418	0.288	0.292	0.239	0.233	0.242	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS02957B1BF	0.308	0.256	0.424	0.349	0.328	0.287	0.363	0.166	0.344	0.555	0.119	0.343	0.418	0.288	0.292	0.239	0.233	0.242	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS069E2161D	0.308	0.256	0.424	0.349	0.328	0.287	0.363	0.166	0.344	0.555	0.119	0.343	0.418	0.288	0.292	0.239	0.233	0.242	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0D9226707	0.308	0.256	0.424	0.349	0.328	0.287	0.363	0.166	0.344	0.555	0.119	0.343	0.418	0.288	0.292	0.239	0.233	0.242	0.0	0.0	0.0
ACVR2A	P27037	True	AVR2A_HUMAN	BMR1B_AVR2A	CPI-CS0BDA0D08C	0.308	0.256	0.424	0.349	0.328	0.287	0.363	0.166	0.344	0.555	0.119	0.343	0.418	0.288	0.292	0.239	0.233	0.242	0.0	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS0288D901D	0.356	0.215	0.274	0.38	0.305	0.311	0.304	0.235	0.351	0.363	0.297	0.287	0.294	0.195	0.326	0.425	0.384	0.282	0.422	0.324	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS0FCC00896	0.356	0.215	0.274	0.38	0.305	0.311	0.304	0.235	0.351	0.363	0.297	0.287	0.294	0.195	0.326	0.425	0.384	0.282	0.422	0.324	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS02AEFFE28	0.356	0.215	0.274	0.38	0.305	0.311	0.304	0.235	0.351	0.363	0.297	0.287	0.294	0.195	0.326	0.425	0.384	0.282	0.422	0.324	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS0860DA460	0.356	0.215	0.274	0.38	0.305	0.311	0.304	0.235	0.351	0.363	0.297	0.287	0.294	0.195	0.326	0.425	0.384	0.282	0.422	0.324	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CC09863F59B	0.356	0.215	0.274	0.38	0.305	0.311	0.304	0.235	0.351	0.363	0.297	0.287	0.294	0.195	0.326	0.425	0.384	0.282	0.422	0.324	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS04DD927C9	0.356	0.215	0.274	0.38	0.305	0.311	0.304	0.235	0.351	0.363	0.297	0.287	0.294	0.195	0.326	0.425	0.384	0.282	0.422	0.324	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1A2B receptor	CPI-CS048465560	0.356	0.215	0.274	0.38	0.305	0.311	0.304	0.235	0.351	0.363	0.297	0.287	0.294	0.195	0.326	0.425	0.384	0.282	0.422	0.324	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CC072007F09	0.111	0.036	0.117	0.104	0.091	0.087	0.077	0.137	0.072	0.118	0.084	0.101	0.102	0.035	0.101	0.286	0.19	0.062	0.161	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0C159B54D	0.111	0.036	0.117	0.104	0.091	0.087	0.077	0.137	0.072	0.118	0.084	0.101	0.102	0.035	0.101	0.286	0.19	0.062	0.161	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS085EF890A	0.111	0.036	0.117	0.104	0.091	0.087	0.077	0.137	0.072	0.118	0.084	0.101	0.102	0.035	0.101	0.286	0.19	0.062	0.161	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0AED3F8E8	0.111	0.036	0.117	0.104	0.091	0.087	0.077	0.137	0.072	0.118	0.084	0.101	0.102	0.035	0.101	0.286	0.19	0.062	0.161	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0384572FE	0.111	0.036	0.117	0.104	0.091	0.087	0.077	0.137	0.072	0.118	0.084	0.101	0.102	0.035	0.101	0.286	0.19	0.062	0.161	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS06C0EEFCB	0.111	0.036	0.117	0.104	0.091	0.087	0.077	0.137	0.072	0.118	0.084	0.101	0.102	0.035	0.101	0.286	0.19	0.062	0.161	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1B2B receptor	CPI-CS0B2F2EF5D	0.111	0.036	0.117	0.104	0.091	0.087	0.077	0.137	0.072	0.118	0.084	0.101	0.102	0.035	0.101	0.286	0.19	0.062	0.161	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B receptor	CPI-CC0B6E6E341	0.002	0.0	0.0	0.001	0.003	0.002	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B receptor	CPI-CS0B79F5D68	0.002	0.0	0.0	0.001	0.003	0.002	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	ACVR_1C2B receptor	CPI-CS0A5400A6A	0.002	0.0	0.0	0.001	0.003	0.002	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0C99F8D96	0.501	0.48	0.423	0.503	0.489	0.473	0.452	0.235	0.351	0.711	0.297	0.454	0.408	0.195	0.546	0.599	0.583	0.363	0.579	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS0CA393CC5	0.501	0.48	0.423	0.503	0.489	0.473	0.452	0.235	0.351	0.711	0.297	0.454	0.408	0.195	0.546	0.599	0.583	0.363	0.579	0.0	0.0
ACVR2B	Q13705	True	AVR2B_HUMAN	BMR1A_AVR2B	CPI-CS076E1A639	0.501	0.48	0.423	0.503	0.489	0.473	0.452	0.235	0.351	0.711	0.297	0.454	0.408	0.195	0.546	0.599	0.583	0.363	0.579	0.0	0.0
